Wallet_ID,Label
W_Normal_0,0
W_Normal_1,0
W_Normal_2,0
W_Normal_3,0
W_Normal_4,0
W_Normal_5,0
W_Normal_6,0
W_Normal_7,0
W_Normal_8,0
W_Normal_9,0
W_Normal_10,0
W_Normal_11,0
W_Normal_12,0
W_Normal_13,0
W_Normal_14,0
W_Normal_15,0
W_Normal_16,0
W_Normal_17,0
W_Normal_18,0
W_Normal_19,0
W_Normal_20,0
W_Normal_21,0
W_Normal_22,0
W_Normal_23,0
W_Normal_24,0
W_Normal_25,0
W_Normal_26,0
W_Normal_27,0
W_Normal_28,0
W_Normal_29,0
W_Normal_30,0
W_Normal_31,0
W_Normal_32,0
W_Normal_33,0
W_Normal_34,0
W_Normal_35,0
W_Normal_36,0
W_Normal_37,0
W_Normal_38,0
W_Normal_39,0
W_Normal_40,0
W_Normal_41,0
W_Normal_42,0
W_Normal_43,0
W_Normal_44,0
W_Normal_45,0
W_Normal_46,0
W_Normal_47,0
W_Normal_48,0
W_Normal_49,0
W_Normal_50,0
W_Normal_51,0
W_Normal_52,0
W_Normal_53,0
W_Normal_54,0
W_Normal_55,0
W_Normal_56,0
W_Normal_57,0
W_Normal_58,0
W_Normal_59,0
W_Normal_60,0
W_Normal_61,0
W_Normal_62,0
W_Normal_63,0
W_Normal_64,0
W_Normal_65,0
W_Normal_66,0
W_Normal_67,0
W_Normal_68,0
W_Normal_69,0
W_Normal_70,0
W_Normal_71,0
W_Normal_72,0
W_Normal_73,0
W_Normal_74,0
W_Normal_75,0
W_Normal_76,0
W_Normal_77,0
W_Normal_78,0
W_Normal_79,0
W_Normal_80,0
W_Normal_81,0
W_Normal_82,0
W_Normal_83,0
W_Normal_84,0
W_Normal_85,0
W_Normal_86,0
W_Normal_87,0
W_Normal_88,0
W_Normal_89,0
W_Normal_90,0
W_Normal_91,0
W_Normal_92,0
W_Normal_93,0
W_Normal_94,0
W_Normal_95,0
W_Normal_96,0
W_Normal_97,0
W_Normal_98,0
W_Normal_99,0
W_Normal_100,0
W_Normal_101,0
W_Normal_102,0
W_Normal_103,0
W_Normal_104,0
W_Normal_105,0
W_Normal_106,0
W_Normal_107,0
W_Normal_108,0
W_Normal_109,0
W_Normal_110,0
W_Normal_111,0
W_Normal_112,0
W_Normal_113,0
W_Normal_114,0
W_Normal_115,0
W_Normal_116,0
W_Normal_117,0
W_Normal_118,0
W_Normal_119,0
W_Normal_120,0
W_Normal_121,0
W_Normal_122,0
W_Normal_123,0
W_Normal_124,0
W_Normal_125,0
W_Normal_126,0
W_Normal_127,0
W_Normal_128,0
W_Normal_129,0
W_Normal_130,0
W_Normal_131,0
W_Normal_132,0
W_Normal_133,0
